,Sim,Wsnr,Heterogeneity,gKCC2,gGABA_tonic,current_noise,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,STD FR,STD CV
0,1,0.1,0.1,0.001,0.001,0.001,3.541489602061076e-19,0.0021126597727159314,1.8523251426535904e-15,0.1520776973633648,0.9672619047619049,0.17857142857142855,0.5729166666666667,0.99,10.473958333333334,0.19990820571282955,4.546272392293554,0.15511902811448067
1,2,0.1,0.1,0.001,0.001,0.01,4.257276825623284e-22,0.0009114540189127548,8.242236101389854e-17,0.0009272017570958073,0.9693877551020409,0.3163265306122448,0.6428571428571428,1.0,9.933673469387756,0.22809705866272634,4.795106857091798,0.16489381533421968
2,3,0.1,0.1,0.001,0.002,0.001,9.915912257134064e-20,0.00016280878153719967,8.738620468758855e-16,0.0005335227528369856,0.9464285714285715,0.4285714285714285,0.6875,0.97,10.333333333333334,0.24226020994572872,4.378966455937088,0.23309887105762053
3,4,0.1,0.1,0.001,0.002,0.01,5.8694987415948046e-18,0.001219922448153378,2.0182441418335533e-14,0.0033635510396319993,1.0040128410914928,0.4004815409309791,0.702247191011236,0.93,10.53370786516854,0.22697340474255256,4.525084736191514,0.1904094308744707
4,5,0.1,0.1,0.001,0.003,0.001,3.2367723928762144e-20,3.725967814646116e-05,1.3036795590630184e-15,0.00022247695739780572,1.0095729013254786,0.46465390279823265,0.7371134020618556,0.98,10.510309278350515,0.25394057959799804,4.070879348154831,0.2712584359121172
5,6,0.1,0.1,0.001,0.003,0.01,1.2352189350309421e-23,3.396894136882078e-08,2.4939140710412604e-17,4.10547605479287e-10,1.0082706766917293,0.6654135338345863,0.8368421052631578,0.99,9.56842105263158,0.3031952802862309,4.050088060326453,0.2568030361257862
6,7,0.1,0.1,0.001,0.004,0.001,9.175513375395272e-20,8.36311488587074e-09,4.99612370602514e-16,0.02918139240986192,0.9863221884498481,0.44343127321850717,0.7148767308341777,0.95,10.063829787234043,0.22522518018528545,4.579808856548161,0.286481851247905
7,8,0.1,0.1,0.001,0.004,0.01,3.7834474726195023e-19,2.8023078186714634e-06,9.533789520419044e-16,0.0006443690842504773,0.9208909370199694,0.48438300051203276,0.702636968766001,0.96,10.06989247311828,0.2546374126413546,5.160119714920279,0.30324860135129833
8,9,0.1,0.1,0.001,0.005,0.001,3.736734710798889e-15,2.1376592364748143e-07,4.0148343458725734e-14,0.0023713187755454463,0.9603174603174603,0.5015873015873016,0.730952380952381,0.91,10.672222222222222,0.24879973972296004,5.352134107640881,0.3163182136176663
9,10,0.1,0.1,0.001,0.005,0.01,3.120836717372e-20,1.0955364627743547e-08,1.3225801309675897e-16,2.0050629288365077e-12,0.9863221884498482,0.71580547112462,0.8510638297872342,0.95,9.77659574468085,0.3896307249817542,4.672017777489014,0.4250317535512322
10,11,0.1,0.1,0.001,0.006,0.001,2.2747397020016665e-21,9.086483963384701e-07,1.5769022556376475e-18,1.5464614283935277e-06,1.0297619047619049,0.5535714285714285,0.7916666666666667,0.98,9.005208333333334,0.30887614786209955,4.810196846969698,0.38595763615727574
11,12,0.1,0.1,0.001,0.006,0.01,1.5546816889431439e-16,5.512709493623859e-08,1.8185577753656853e-15,1.9319966393525854e-10,0.9590690208667737,0.6926163723916533,0.8258426966292135,0.89,9.910112359550562,0.34251470013189683,5.3619350218355475,0.35491025872186205
12,13,0.1,0.1,0.002,0.001,0.001,1.1118581643675082e-17,9.086483963384701e-07,4.1543317138702426e-15,0.6542262537533957,0.9047619047619048,0.17857142857142858,0.5416666666666666,0.97,10.578125,0.18610865891615344,5.168679778342016,0.1643088432173123
13,14,0.1,0.1,0.002,0.001,0.01,1.620230502152928e-23,0.009613655132109123,1.3490758327921528e-17,0.0217106953705338,1.0714285714285714,0.22148584519718542,0.6464572083128785,1.0,9.603092783505154,0.21071947466221805,3.8489107739762423,0.14060068401139614
14,15,0.1,0.1,0.002,0.002,0.001,3.9945168263899775e-22,2.012763079462187e-05,8.988986013058475e-17,0.033607446976805996,0.9661654135338346,0.2654135338345865,0.6157894736842106,0.98,9.789473684210526,0.21370093580364938,4.446511907556789,0.1939754754184298
15,16,0.1,0.1,0.002,0.002,0.01,1.8630593559203942e-25,0.021476778401595314,4.790884957310223e-18,0.002035552173143627,0.9863221884498481,0.29027355623100304,0.6382978723404256,0.97,9.164893617021276,0.22875418578299855,4.052441015014534,0.1895552630597214
16,17,0.1,0.1,0.002,0.003,0.001,5.84596400254428e-17,8.303785137678794e-08,5.704153357927277e-15,0.9972720890246556,0.8839285714285715,0.1785714285714286,0.53125,0.98,10.625,0.17962982131412228,5.351207028948391,0.18956550696914015
17,18,0.1,0.1,0.002,0.003,0.01,2.4785935762695473e-25,0.00022663988262963667,5.485487819414278e-18,0.13734700491039428,1.0507936507936508,0.23968253968253966,0.6452380952380953,0.93,8.916666666666666,0.20363986298547646,3.7809831173034,0.19352820094791756
18,19,0.1,0.1,0.002,0.004,0.001,7.154280884155112e-23,3.6499918278690146e-06,1.523778598522499e-16,0.11335832002408273,1.0478991596638656,0.37609710550887016,0.7119981325863679,0.87,9.217647058823529,0.207703789453684,3.8382341672299454,0.2214679549953761
19,20,0.1,0.1,0.002,0.004,0.01,2.9972966043941192e-21,0.0042373394066522446,5.1943687124094246e-17,0.020946649643580586,1.0279503105590062,0.31987577639751547,0.6739130434782609,0.95,9.478260869565217,0.21573861963814678,4.321277641356338,0.1831357844717976
