,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,0.33,0.33,0.33,0.33,0.33,1.0,1.0,0.005395915750133459,0.19013073377163153,0.14718654755913327,0.12572105090808333,0.7864278108420182,0.02945934688937179,0.4839920401017657,0.2507367943776921,0.3673644172397289,0.99,23.050505050505052,0.7319352891804104,-0.021515638040276692,-0.07216012997763922,11.192190402577605,0.25055179599046573
1,2,0.33,0.33,0.33,0.33,0.33,1.0,1.5,0.0024321419089694883,0.2025995617018061,0.0356862490064404,0.15665381999546588,0.5772476280828516,0.18614648427337113,0.46056575732386207,0.33350966019295186,0.39703770875840694,0.99,24.606060606060606,0.8244587701714626,0.044517048963140134,0.04512752624792958,11.875675999317737,0.28307923046782585
2,3,0.33,0.33,0.33,0.33,0.33,1.0,2.0,0.012896110154143839,0.17423940149625936,0.0005765541002785899,0.22311720698254364,0.27056065099905746,0.03357056748859376,0.4431920199501247,0.42603491271820443,0.43461346633416453,1.0,25.64,0.84740588316216,0.0884073466363204,0.0742164998900095,12.87712700877024,0.3080184312944258
3,4,0.33,0.33,0.33,0.33,0.33,1.25,1.0,1.3354621557714519e-05,0.2699312325247487,0.0663546438978972,0.14393309655155043,0.28368245375495305,0.0015432211732253711,0.46056575732386207,0.2911408347817325,0.37585329605279727,0.99,25.58080808080808,0.7067995613996232,0.08589467426073576,-0.10402350743981617,12.201321974805188,0.23796212721801863
4,5,0.33,0.33,0.33,0.33,0.33,1.25,1.5,2.460269077231875e-05,0.2629537267941258,0.2288645370145383,0.11438575278974282,0.06503369879837227,0.925330463956299,0.5248494924305398,0.3113428549837526,0.4180961737071462,0.99,27.045454545454547,0.7863539108503714,0.14806830812758945,-0.003176208033404003,12.262715706994113,0.2766118008127076
5,6,0.33,0.33,0.33,0.33,0.33,1.25,2.0,2.460269077231875e-05,0.2629537267941258,0.0024902119565599888,0.20229728708531702,0.015219516074368193,0.08421115764036226,0.5211214388271745,0.37819592433058763,0.4496586815788811,0.99,28.17676767676768,0.8357175694360401,0.19609208049371085,0.05939977544901789,12.882199983728453,0.2903097365689506
6,7,0.33,0.33,0.33,0.33,0.33,1.5,1.0,6.209484707249026e-06,0.279505318336811,0.00032584564811893266,0.2320474324393099,0.039621187803832746,9.286655584694835e-06,0.5788589750114509,0.3461244847066008,0.46249172985902587,0.99,27.46938775510204,0.6747882489753905,0.16606409673380815,-0.1446027395085467,12.338304452720127,0.21953760642240042
7,8,0.33,0.33,0.33,0.33,0.33,1.5,1.5,3.6894273376690536e-07,0.30758961182901334,0.8628631194570947,0.06511499030202272,0.00309581192682549,0.305025938673174,0.6460616136426609,0.17698178795435648,0.4115217007985087,0.99,29.196969696969695,0.762406939240543,0.23939923235958804,-0.0335326553236722,12.91303823559077,0.23755518064207465
8,9,0.33,0.33,0.33,0.33,0.33,1.5,2.0,2.0339879917339484e-07,0.3134335877478022,0.18500181521798922,0.1200030227461649,0.0004649989851359984,0.5959467158820757,0.6460616136426611,0.32756492606866666,0.48681326985566387,0.99,30.257575757575758,0.8030324632084961,0.2844215189528269,0.017966406731696045,13.165873324078238,0.27628070144161204
9,10,0.33,0.33,0.33,0.33,0.66,1.0,1.0,0.0012278411079506006,0.21270057180281618,0.005647100771008388,0.1894506158845311,0.85570332716747,0.0013137638697388102,0.4839920401017657,0.39215093579183347,0.4380714879467996,0.99,23.217171717171716,0.7039705250907448,-0.014440707289910695,-0.10760974343624904,11.201136670351225,0.2588201720688256
