,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,1.1,2,8,0.01,0.1,0.002016389671315082,1.77370765167973e-27,0.0012250608918095037,8.583072928116692e-33,0.42870185922974763,1.1502324037184595,0.7894671314741035,0.96,19.088541666666668,0.3838996285690834,-0.22233014797381367,-0.4522775721759014,13.765520557051127,0.1943220994433652
1,2,1.1,2,8,0.01,0.2,0.00035521460529128494,5.608875324781554e-15,3.2709282820064414e-05,2.6229808814050797e-23,0.3813991346442189,0.8854474574819002,0.6334232960630596,0.95,17.548387096774192,0.43388571703979095,-0.28507626013791226,-0.3809607495036457,11.671365685661453,0.21745082554388878
2,3,1.1,2,8,0.01,0.30000000000000004,0.0006104463712923221,8.327128160268174e-22,6.360640262709117e-06,4.5020646977822146e-27,0.4495351925630809,1.004399070385126,0.7269671314741034,0.98,17.125,0.4190921477606988,-0.3023251095601363,-0.402067229111167,10.275628529032502,0.18651039055006396
3,4,1.1,2,8,0.01,0.4,0.0004658206614605718,1.6161845514764578e-16,0.0006199577153016742,6.776116030150678e-25,0.49989515621723635,0.8533025791570559,0.6765988676871462,0.95,18.710526315789473,0.42172230254266907,-0.2377305461348551,-0.3983146993988996,14.262128531509855,0.23960978696944726
4,5,1.1,2,8,0.01,0.5,0.0009999449033932402,8.25474591996298e-27,0.0003097696004687801,6.703267553404098e-32,0.4018326693227092,1.0985657370517927,0.750199203187251,1.0,18.54,0.3977678537720501,-0.24467781204349942,-0.4324913118815303,14.05109960109884,0.17816179630399104
5,6,1.1,2,8,0.03,0.1,0.16493844270360147,6.118694023536428e-22,0.8012965341139807,4.1259986406923196e-24,0.32023904382470114,1.038565737051793,0.679402390438247,1.0,24.135,0.44532814014091376,-0.016736731050154077,-0.36463546212450015,12.588458007238218,0.16715962830745618
6,7,1.1,2,8,0.03,0.2,0.4057671647019012,8.036773350537231e-11,0.384525054156597,4.046344217934101e-16,0.3272968731136061,0.6110909895770453,0.4691939313453257,1.0,23.095959595959595,0.4909294798222482,-0.05906738214805085,-0.29957450706343713,14.262098668239886,0.21961435501214102
7,8,1.1,2,8,0.03,0.30000000000000004,0.23018448567943414,8.352315766942267e-16,0.5010377288706456,3.3923742296769183e-20,0.3355557362387186,0.8279534921538335,0.581754614196276,0.98,25.678571428571427,0.460754996484549,0.046148584413476475,-0.34262545070113937,14.791622353100239,0.21760978689629187
8,9,1.1,2,8,0.03,0.4,0.09950227089047256,5.779961054994378e-19,0.7711065964118957,4.075987634335641e-28,0.5103298147615722,0.9301351295847538,0.720232472173163,0.97,25.056701030927837,0.4053595284929767,0.020813497607999894,-0.4216600158865447,18.21037943080018,0.23199583580196265
9,10,1.1,2,8,0.03,0.5,0.06780952666488894,8.638829869012144e-18,0.9810393934682854,2.8965152335658197e-26,0.3636881047239613,0.9299943084803642,0.6468412066021627,0.98,24.586734693877553,0.4194804106624365,0.0016670034350375024,-0.4015132814557174,16.863652724582742,0.22542132635224382
10,11,1.1,2,8,0.049999999999999996,0.1,0.004579532932200136,7.505856435281366e-13,0.03357803134947336,1.6112604815052467e-17,0.5040846714153487,0.7323031107891665,0.6181938911022576,1.0,28.27777777777778,0.4785718963707855,0.1520406138974554,-0.3172054842938724,18.72221472888979,0.23176908486788897
11,12,1.1,2,8,0.049999999999999996,0.2,0.0009551362534542155,2.1148539826942895e-15,0.0008044261826516581,7.308889229647452e-26,0.5049190991137491,0.8371412309943898,0.6710301650540694,0.98,30.56122448979592,0.41978643751911066,0.24506855168621589,-0.40107666271362147,19.951761380241447,0.23650290762288947
12,13,1.1,2,8,0.049999999999999996,0.30000000000000004,0.00010496683321007947,9.272880909375531e-15,0.00019784088559920046,7.487028459119243e-21,0.41703891504688323,0.7929091713952272,0.6049740432210552,1.0,30.883838383838384,0.4529696023992113,0.25821188676244683,-0.3537331325863308,15.73788266964064,0.24218267847779343
13,14,1.1,2,8,0.049999999999999996,0.4,0.05883857824240674,1.6651299521998815e-15,0.09208347777699256,4.415210880840803e-19,0.3702788844621514,0.8585657370517928,0.6144223107569722,1.0,27.46,0.47171462658124946,0.11872423307904571,-0.3269889802336025,17.863325558249226,0.21039451667030543
14,15,1.1,2,8,0.049999999999999996,0.5,0.0007379245744376713,1.6386377669317994e-16,0.0013893245422816503,6.804995113627303e-25,0.3444182453858037,0.8279534921538335,0.5861858687698186,0.98,30.107142857142858,0.4317437418372925,0.22656920258770616,-0.38401677709769255,17.391683738652393,0.20606072438214296
15,16,1.1,2,20,0.01,0.1,0.0005882805612927393,1.3244406123427718e-12,0.0005390726438455037,4.0356341467520907e-16,0.37856736320026024,0.7667290023579152,0.5726481827790877,0.98,18.744897959183675,0.4915046149897677,-0.23633024058511562,-0.29875394250218723,13.900015581029143,0.2091183198916199
