,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,14010.0,10.0,0.0340034780982997,0.005,0.001,0.017316,0.005,0.001,0.017316,0.002,0.0004,0.001314,0.001314,0.116018,0.0,0.834204,0.049134,0.010386,0.16971,38.325,35.7532,26.5,0.10824,0.1,0.04328,0.04,-57.6004,13.631772047550491,13.631772047550491,0.0,0.0,1.0,20.0,0.0,0.0805534159093397,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.220900219847865,5.0,0.0,4.5,0.3642236488056772,-0.5378697235056932,1.0770731141627266,2.0,0.197436,141.0,0.0080457733911297
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,66110.0,10.0,0.0101653457387468,0.005,0.001,0.0075322,0.005,0.001,0.0075322,0.002,0.0004,0.00523,0.00523,0.100318,0.0,1.19935,0.015899,0.010233,0.210238,29.0481,18.641,26.5,1.0852,0.1,0.43408,0.04,-56.5581,8.409974054975653,8.409974054975653,0.0,0.0,1.0,20.0,0.0,0.06442557540777695,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67459444371459,5.0,0.0,3.5,0.0872836680596964,-0.5687580516638726,-0.2804324911293014,3.0,0.71033,662.0,0.0382155270387607
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,120.0,103267.0,67.0,0.0050539528704313,0.005,0.001,0.0024518,0.005,0.001,0.0024518,0.002,0.0004,0.004574,0.004574,0.09207,0.0,0.810504,0.043855,0.008438,0.192658,34.6124,54.8244,26.5,0.07768,0.1,0.03112,0.04,-58.3522,6.096658822110855,6.096658822110855,0.0,0.0,1.0,20.0,0.0,0.08759024173630245,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.841462712326838,5.0,0.0,3.0,0.2462019474422914,-1.2643904176053913,0.5350486046522148,2.0,0.864421,1033.0,0.0570580155796216
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,172.0,124120.0,20.0,0.0344083111933622,0.005,0.001,0.0090402,0.005,0.001,0.0090402,0.002,0.0004,0.001078,0.001078,0.110732,0.0,0.764274,0.054807,0.008124,0.1595,43.4084,63.5912,26.5,0.7079199999999999,0.1,0.2832,0.04,-58.9219,12.937671415291977,12.937671415291977,0.0,0.0,1.0,20.0,0.0,0.06673515878872958,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05177781590022,5.0,0.0,4.0,0.1989401832901281,-0.4660118681991761,0.21086965607091,1.0,0.238459,1242.0,0.0065670445809396
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,150.0,78859.0,59.0,0.0357309102830064,0.005,0.001,0.0047528,0.005,0.001,0.0047528,0.002,0.0004,0.007051,0.007051,0.09451,0.0,0.533496,0.03053,0.007169,0.115043,12.8204,60.4706,26.5,0.08768,0.1,0.03504,0.04,-55.5179,6.53456177100308,6.53456177100308,0.0,0.0,1.0,20.0,0.0,0.049907617023197855,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.177753799351997,5.0,0.0,3.0,0.3560571026154536,-0.90280820983851,1.1003922868336986,2.0,0.651833,789.0,0.0776641284698416
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,61.0,89698.0,98.0,0.0397363291080612,0.005,0.001,0.0101478,0.005,0.001,0.0101478,0.002,0.0004,0.002057,0.002057,0.044133,0.0,0.809074,0.025437,0.011965,0.163143,41.0137,64.4101,26.5,0.06832,0.1,0.02736,0.04,-61.0014,11.829132645763773,11.829132645763773,0.0,0.0,1.0,20.0,0.0,0.09454192211707964,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.144213799095253,5.0,0.0,2.5,0.052821874679596,-0.7767360365327276,-0.5980756794776787,2.0,0.5510539999999999,897.0,0.1970366442995458
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,121.0,65356.0,56.0,0.0387354098269825,0.005,0.001,0.0168272,0.005,0.001,0.0168272,0.002,0.0004,0.004877,0.004877,0.111747,0.0,0.756412,0.058242,0.01307,0.270877,9.96719,61.3923,26.5,0.87408,0.1,0.3495999999999999,0.04,-57.0407,10.913049537813029,10.913049537813029,0.0,0.0,1.0,20.0,0.0,0.06467105330231065,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.458782487447358,5.0,0.0,4.5,0.1593299063170794,-0.4695223115846195,0.2390209922799568,1.0,0.293047,654.0,0.0452890652481088
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,214.0,88464.0,64.0,0.0343062025410219,0.005,0.001,0.012337,0.005,0.001,0.012337,0.002,0.0004,0.001109,0.001109,0.092801,0.0,0.752844,0.047607,0.012124,0.143029,36.3532,51.4186,26.5,0.04328,0.1,0.01728,0.04,-56.3391,13.397236833904907,13.397236833904907,0.0,0.0,1.0,20.0,0.0,0.0900992571644663,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14704769014249,5.0,0.0,5.0,0.1980513761816469,-0.4387789792136601,0.6224500282030175,2.0,0.573553,885.0,0.0033797592753633
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,223.0,48987.0,87.0,0.0089333532792448,0.005,0.001,0.0154986,0.005,0.001,0.0154986,0.002,0.0004,0.001011,0.001011,0.092705,0.0,0.430305,0.048689,0.008068,0.169934,31.1721,38.8836,26.5,0.48416,0.1,0.19368,0.04,-57.8398,13.817220120302457,13.817220120302457,0.0,0.0,1.0,20.0,0.0,0.10169285354205562,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.171483354730546,5.0,0.0,4.0,0.3617382682855741,-0.5472940684483523,1.1759202138682998,3.0,0.67847,490.0,0.0782889064418901
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,103745.0,45.0,0.0354250535022129,0.005,0.001,0.014716,0.005,0.001,0.014716,0.002,0.0004,0.00071,0.00071,0.10326,0.0,0.677797,0.039555,0.008847,0.149091,38.5793,40.4266,26.5,0.86944,0.1,0.34776,0.04,-57.1206,14.12644863465568,14.12644863465568,0.0,0.0,1.0,20.0,0.0,0.0973076599741379,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.855145166336527,5.0,0.0,8.5,0.2896728434639072,0.0929826880266719,1.1388045429097051,1.0,0.40011,1038.0,0.007382733772461
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,42576.0,76.0,0.0250041396432547,0.005,0.001,0.0157534,0.005,0.001,0.0157534,0.002,0.0004,0.00376,0.00376,0.092746,0.0,0.802716,0.044062,0.011172,0.182944,42.4625,45.1494,26.5,1.0548,0.1,0.42192,0.04,-56.087,11.425391486686085,11.425391486686085,0.0,0.0,1.0,20.0,0.0,0.09719459739021294,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.441456985484812,5.0,0.0,7.5,0.1902193762120013,-0.1463769790848904,0.0559051967386331,1.0,0.265111,426.0,0.0385744064190657
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,193.0,19149.0,49.0,0.0384010323067305,0.005,0.001,0.0050284,0.005,0.001,0.0050284,0.002,0.0004,0.000746,0.000746,0.128077,0.0,0.846194,0.031748,0.01435,0.236351,32.1249,56.4262,26.5,1.0983999999999998,0.1,0.43936,0.04,-57.784,12.52033472834062,12.52033472834062,0.0,0.0,1.0,20.0,0.0,0.10595400715401251,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.651816554334417,5.0,0.0,9.0,0.3542399154597326,-0.0632888037083952,0.933455787648628,3.0,0.359607,192.0,0.0143051857809303
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,176.0,108040.0,40.0,0.0370563851625688,0.005,0.001,0.0144404,0.005,0.001,0.0144404,0.002,0.0004,0.009897,0.009897,0.104543,0.0,0.755549,0.039465,0.008574,0.162913,31.783,49.2205,26.5,0.0632,0.1,0.0252799999999999,0.04,-57.9872,8.446604767190529,8.446604767190529,0.0,0.0,1.0,20.0,0.0,0.04528497952636877,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.404136277669339,5.0,0.0,6.5,0.3800633578955626,-0.6332117167401804,1.1360372301741355,2.0,0.8522890000000001,1081.0,0.0106280634382625
