,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,88464.0,64.0,0.033229490871611,0.005,0.001,0.0077517,0.005,0.001,0.0077517,0.002,0.0004,0.000439,0.000439,0.092801,0.0,0.752844,0.047607,0.012124,0.143029,36.3532,51.4186,26.5,0.04328,0.1,0.01728,0.04,-56.3391,13.971635544595769,13.971635544595769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.23809069251088388,5.0,1.0,1.0,1.0,0.0,5.0,14.255271252524382,5.0,0.1980513761816469,-0.4387789792136601,0.6224500282030175,2.0,0.573553,885.0,0.0033797592753633
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,108.0,40340.0,40.0,0.0194192036897002,0.005,0.001,0.0197606,0.005,0.001,0.0197606,0.002,0.0004,0.004,0.004,0.097175,0.0,0.670463,0.05095,0.009722,0.164694,36.7917,51.0825,26.5,0.84984,0.1,0.33992,0.04,-58.5843,11.832443656343788,11.832443656343788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.8185625210410284,5.0,1.0,1.0,1.0,0.0,5.0,22.229290717220884,4.0,0.1255235477773912,-0.9693743240202708,-0.4991599899044349,3.0,0.678953,404.0,0.0031166807798857
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23.0,66110.0,10.0,0.0239116090439474,0.005,0.001,0.0031291,0.005,0.001,0.0031291,0.002,0.0004,0.006576,0.006576,0.100318,0.0,1.19935,0.015899,0.010233,0.210238,29.0481,18.641,26.5,1.0852,0.1,0.43408,0.04,-56.5581,5.894183855548323,5.894183855548323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.1648115160758783,5.0,1.0,1.0,1.0,0.0,5.0,48.83939035974896,3.5,0.0872836680596964,-0.5687580516638726,-0.2804324911293014,3.0,0.71033,662.0,0.0382155270387607
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,121.0,65356.0,56.0,0.0272724026650633,0.005,0.001,0.0123047,0.005,0.001,0.0123047,0.002,0.0004,0.005873,0.005873,0.111747,0.0,0.756412,0.058242,0.01307,0.270877,9.96719,61.3923,26.5,0.87408,0.1,0.3495999999999999,0.04,-57.0407,9.490997031406977,9.490997031406977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.6142179501755387,5.0,1.0,1.0,1.0,0.0,5.0,33.94724001487559,4.5,0.1593299063170794,-0.4695223115846195,0.2390209922799568,1.0,0.293047,654.0,0.0452890652481088
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,134.0,83141.0,41.0,0.0195885231427767,0.005,0.001,0.0091901,0.005,0.001,0.0091901,0.002,0.0004,0.00674,0.00674,0.106711,0.0,0.613854,0.048737,0.006151,0.126082,32.6539,48.2419,26.5,1.04728,0.1,0.41888,0.04,-59.5337,8.257222050456031,8.257222050456031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.8682662675515533,5.0,1.0,1.0,1.0,0.0,5.0,42.35926045878152,1.5,0.3396957864020186,-1.2288385601237133,1.1028568221413688,6.0,1.429099,832.0,0.0350690184902967
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,224.0,124005.0,5.0,0.0229645201867401,0.005,0.001,0.0119306,0.005,0.001,0.0119306,0.002,0.0004,0.001135,0.001135,0.113634,0.0,0.546054,0.049139,0.009404,0.197402,39.4139,30.6725,26.5,0.11584,0.1,0.04632,0.04,-57.8008,13.31209961440049,13.31209961440049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.3875542171372999,5.0,1.0,1.0,1.0,0.0,5.0,34.0076250582555,4.0,0.391251457272221,-0.5207775555713372,1.3999410852843266,3.0,1.5485,1241.0,0.0353312884318853
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,172.0,124120.0,20.0,0.0224168560413819,0.005,0.001,0.0045211,0.005,0.001,0.0045211,0.002,0.0004,0.004259,0.004259,0.110732,0.0,0.764274,0.054807,0.008124,0.1595,43.4084,63.5912,26.5,0.7079199999999999,0.1,0.2832,0.04,-58.9219,7.587225922271777,7.587225922271777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.8989739766090437,5.0,1.0,1.0,1.0,0.0,5.0,41.71019890234584,4.0,0.1989401832901281,-0.4660118681991761,0.21086965607091,1.0,0.238459,1242.0,0.0065670445809396
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,234.0,133404.0,4.0,0.047164708153263,0.005,0.001,0.0142564,0.005,0.001,0.0142564,0.002,0.0004,0.000959,0.000959,0.073117,0.0,0.431631,0.05657,0.009046,0.201649,52.7922,43.0445,26.5,0.04736,0.1,0.0189599999999999,0.04,-57.4641,13.781276638100753,13.781276638100753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.3202789781042108,5.0,1.0,1.0,1.0,0.0,5.0,16.106052976382003,5.0,0.2721036955415562,-0.3899621993739819,0.826815183283352,2.0,0.7956460000000001,1335.0,0.0008177599215028
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,120.0,103267.0,67.0,0.0287891555207727,0.005,0.001,0.0071079,0.005,0.001,0.0071079,0.002,0.0004,0.001215,0.001215,0.09207,0.0,0.810504,0.043855,0.008438,0.192658,34.6124,54.8244,26.5,0.07768,0.1,0.03112,0.04,-58.3522,12.220215722901012,12.220215722901012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.7839230291791989,5.0,1.0,1.0,1.0,0.0,5.0,23.617409036174426,3.0,0.2462019474422914,-1.2643904176053913,0.5350486046522148,2.0,0.864421,1033.0,0.0570580155796216
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,189.0,58548.0,48.0,0.007901024936418,0.005,0.001,0.0038135,0.005,0.001,0.0038135,0.002,0.0004,0.004405,0.004405,0.122837,0.0,0.792789,0.043561,0.006943,0.193692,42.626,38.7329,26.5,0.97864,0.1,0.39144,0.04,-57.2622,7.085599210570785,7.085599210570785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.998827177511341,5.0,1.0,1.0,1.0,0.0,5.0,40.55957678377742,9.5,0.3273937893938073,0.1668730430078696,1.1054494725058597,3.0,0.5384329999999999,586.0,0.0244343795076215
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,167.0,42252.0,52.0,0.0361813304636766,0.005,0.001,0.0027347,0.005,0.001,0.0027347,0.002,0.0004,0.004574,0.004574,0.112891,0.0,0.732641,0.044424,0.00803,0.146116,44.1692,53.0108,26.5,0.07944,0.1,0.03176,0.04,-57.7285,6.297339290250684,6.297339290250684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0693931044018274,5.0,1.0,1.0,1.0,0.0,5.0,48.698684650588426,8.5,0.494507504299548,-0.1418973249540882,1.3162429017963329,2.0,0.240822,423.0,0.0083864631114698
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,102.0,1853.0,53.0,0.007018236082567,0.005,0.001,0.0129804,0.005,0.001,0.0129804,0.002,0.0004,0.003199,0.003199,0.086169,0.0,0.798471,0.036765,0.008085,0.171093,33.7487,47.2315,26.5,0.0881599999999999,0.1,0.03528,0.04,-57.287,11.34314735819896,11.34314735819896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.1072320963069116,5.0,1.0,1.0,1.0,0.0,5.0,23.656764175699568,8.5,0.1154294022543187,0.0809781793206134,-0.3109615887683641,2.0,0.227193,19.0,0.0083678699331265
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,176.0,108040.0,40.0,0.0405104462493887,0.005,0.001,0.0027463,0.005,0.001,0.0027463,0.002,0.0004,0.00083,0.00083,0.104543,0.0,0.755549,0.039465,0.008574,0.162913,31.783,49.2205,26.5,0.0632,0.1,0.0252799999999999,0.04,-57.9872,10.798540819533876,10.798540819533876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.3992635908898063,5.0,1.0,1.0,1.0,0.0,5.0,27.195931825680933,6.5,0.3800633578955626,-0.6332117167401804,1.1360372301741355,2.0,0.8522890000000001,1081.0,0.0106280634382625
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,241.0,88926.0,26.0,0.0437842523619591,0.005,0.001,0.0142506,0.005,0.001,0.0142506,0.002,0.0004,0.012083,0.012083,0.063839,0.0,0.470485,0.027191,0.009969,0.186572,47.0454,20.4499,26.5,0.76256,0.1,0.30504,0.04,-58.4085,7.862536011887371,7.862536011887371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.8881339068547844,5.0,1.0,1.0,1.0,0.0,5.0,49.05655093342767,5.5,0.4658087204834373,-0.4470508676769117,1.5797431871171563,2.0,0.538683,890.0,0.0012526008217884
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,97.0,102394.0,94.0,0.0413190063236106,0.005,0.001,0.0195402,0.005,0.001,0.0195402,0.002,0.0004,0.002966,0.002966,0.112145,0.0,0.707563,0.03049,0.010409,0.17571,36.0426,54.3682,26.5,0.75312,0.1,0.30128,0.04,-60.7226,12.473444624175931,12.473444624175931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.7144543045435128,5.0,1.0,1.0,1.0,0.0,5.0,22.010221246458737,8.0,0.2531674228492009,-0.218622931393375,0.5495789551185586,1.0,0.375307,1024.0,0.0039239489357266
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,193.0,19149.0,49.0,0.0351178321102946,0.005,0.001,0.0025955,0.005,0.001,0.0025955,0.002,0.0004,0.003233,0.003233,0.128077,0.0,0.846194,0.031748,0.01435,0.236351,32.1249,56.4262,26.5,1.0983999999999998,0.1,0.43936,0.04,-57.784,6.911669150425295,6.911669150425295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0104651317319457,5.0,1.0,1.0,1.0,0.0,5.0,46.96936608140136,9.0,0.3542399154597326,-0.0632888037083952,0.933455787648628,3.0,0.359607,192.0,0.0143051857809303
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,89.0,74804.0,4.0,0.0239712325100473,0.005,0.001,0.007134,0.005,0.001,0.007134,0.002,0.0004,0.006799,0.006799,0.096489,0.0,0.655395,0.04531,0.009221,0.16168,41.1366,52.1033,26.5,0.0832,0.1,0.03328,0.04,-55.8911,7.557468483912873,7.557468483912873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.90888995882929,5.0,1.0,1.0,1.0,0.0,5.0,46.63020012533403,7.0,0.3495862436722388,-0.0164055077626972,1.627848448769258,3.0,0.952438,749.0,0.0177092187246343
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,156.0,71137.0,37.0,0.0253056843053078,0.005,0.001,0.0056608,0.005,0.001,0.0056608,0.002,0.0004,0.000745,0.000745,0.097204,0.0,0.747414,0.03819,0.009838,0.194663,36.0366,51.5338,26.5,0.80056,0.1,0.3202399999999999,0.04,-55.9385,12.75605176260867,12.75605176260867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.5780353545109618,5.0,1.0,1.0,1.0,0.0,5.0,30.446475070562617,9.5,0.2824409159624964,0.188819648256702,0.3690583864324014,3.0,0.886979,712.0,0.0082042934133776
